Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
Chloromethane,NO,NO,NO,NO,Pounds,679230.105,1255.82,8294.1,330813.0,0.0,0.6,1090.0
Chloromethyl methyl ether,NO,YES,NO,NO,Pounds,538.0,0.0,0.0,0.0,0.0,0.0,0.0
Chlorophenols,NO,YES,NO,NO,Pounds,533.957,0.0,16.0,542568.0,0.0,0.0,94.0
Chloropicrin,NO,NO,NO,NO,Pounds,4953.82,0.0,0.0,0.0,0.0,0.0,0.0
Chloroprene,NO,YES,NO,NO,Pounds,37584.249899999995,208.57,4054.326,3057.024,0.0,0.0,0.0
Chlorothalonil,NO,YES,NO,NO,Pounds,1304.7,5.0,245597.03,250.0,0.0,0.0,0.0
Chlorotrifluoromethane (CFC-13),NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chlorsulfuron,NO,NO,NO,NO,Pounds,53.1,0.0,40713.0,0.0,0.0,0.0,0.0
Chromium,YES,NO,NO,NO,Pounds,114973.407242,3035.028715,4376941.129375,82207.294,143.57999999999998,2081110.2476899999,204173250.463716
Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,83454.10636599999,74271.7237,17554675.2006,538826.14,48875.55,5441062.87,19458606.4612
Chromium compounds (except for chromite ore mined in the Transvaal Region),YES,NO,NO,NO,Pounds,87171.963426,21637.1437,10289886.7979,2491238.74,50407.476,4286624.88,12672941.291
